iTest	taille	min	max	nom_tri	type_tab	temps	mem
23	63075	-10000	10000	fusion	decroissant	0.05	3260
28	63555	-10000	10000	rapide	croissant	0.01	2852
27	91332	-10000	10000	radix	unique	0.02	3384
24	5229	-10000	10000	insertion	aleatoire	0.05	2204
28	63555	-10000	10000	rapide	decroissant	0.01	2872
29	44034	-10000	10000	rapide	decroissant	0.01	2268
27	91332	-10000	10000	rapide	decroissant	0.02	3172
23	63075	-10000	10000	fusion	aleatoire	0.06	3232
29	44034	-10000	10000	radix	unique	0.01	2576
28	63555	-10000	10000	rapide	aleatoire	0.02	2828
10	9322	-10000	10000	rapide	unique	0.45	2212
28	63555	-10000	10000	radix	aleatoire	0.03	3024
27	91332	-10000	10000	radix	decroissant	0.06	3428
28	63555	-10000	10000	fusion	unique	0.05	3220
27	91332	-10000	10000	insertion	unique	0.03	3384
29	44034	-10000	10000	rapide	croissant	0.01	2380
29	44034	-10000	10000	radix	croissant	0.02	2596
31	7412	-10000	10000	radix	unique	0.00	2372
27	91332	-10000	10000	rapide	aleatoire	0.03	3168
31	7412	-10000	10000	rapide	aleatoire	0.00	2052
29	44034	-10000	10000	rapide	aleatoire	0.01	2324
29	44034	-10000	10000	insertion	unique	0.01	2576
31	7412	-10000	10000	rapide	croissant	0.00	2124
28	63555	-10000	10000	insertion	unique	0.03	2992
31	7412	-10000	10000	radix	aleatoire	0.00	2292
31	7412	-10000	10000	radix	decroissant	0.00	2260
28	63555	-10000	10000	insertion	croissant	0.02	3124
30	92747	-10000	10000	rapide	decroissant	0.01	3116
27	91332	-10000	10000	fusion	decroissant	0.07	3716
27	91332	-10000	10000	radix	croissant	0.05	3440
24	5229	-10000	10000	insertion	decroissant	0.10	2284
31	7412	-10000	10000	fusion	decroissant	0.00	2428
29	44034	-10000	10000	radix	aleatoire	0.02	2576
32	18324	-10000	10000	radix	unique	0.00	2252
29	44034	-10000	10000	radix	decroissant	0.02	2516
31	7412	-10000	10000	rapide	decroissant	0.00	2164
29	44034	-10000	10000	insertion	croissant	0.02	2496
31	7412	-10000	10000	fusion	croissant	0.00	2244
